# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
9.210483734192570e+00,2.306095893190535e-03,1.949433297346065e-03,6.314472862793656e-04,1.245321496934288e-05,5.209571029990912e-06,2.088707675019528e-06,1.492426393415241e-06,3.560666251074231e-07,1.629823413032861e-07,0.000000000000000e+00
9.382065745825697e+00,2.257036304423823e-03,1.907373388491742e-03,6.181258917974835e-04,1.219829111674490e-05,5.209571029990912e-06,2.049769203289625e-06,1.462925155288641e-06,3.488900863001168e-07,1.600734551914776e-07,0.000000000000000e+00
9.556844157079700e+00,2.208803583353956e-03,1.866039697670621e-03,6.050567179434890e-04,1.193956065480841e-05,5.209571029990912e-06,2.011543105219614e-06,1.433976104357823e-06,3.418489469849726e-07,1.574667339778640e-07,0.000000000000000e+00
9.734878513651937e+00,2.161553599850596e-03,1.825387456557349e-03,5.922352682903112e-04,1.168661971278934e-05,5.209571029990912e-06,1.974016357451602e-06,1.405569132564313e-06,3.349408076232994e-07,1.549252000642751e-07,0.000000000000000e+00
9.916229470515978e+00,2.115233417225824e-03,1.785683363357030e-03,5.815630093012366e-04,1.143905874658951e-05,5.209571029990912e-06,1.937176174890641e-06,1.377694316543479e-06,3.281632370948733e-07,1.524498464923768e-07,0.000000000000000e+00
1.010095881258631e+01,2.069696849313553e-03,1.746666364008223e-03,5.692238533363075e-04,1.118737491776395e-05,5.209571029990912e-06,1.901010006348928e-06,1.350341914244137e-06,3.215138696412744e-07,1.500377260886305e-07,0.000000000000000e+00
1.028912947576797e+01,2.025091177062978e-03,1.708294120538557e-03,5.699873009753481e-04,1.095732465262764e-05,5.209571029990912e-06,1.865505530269690e-06,1.323502361609954e-06,3.149903475627023e-07,1.476875554317957e-07,0.000000000000000e+00
1.048080556839838e+01,1.981366961268109e-03,1.670818678778540e-03,5.801470822491565e-04,1.072384320130999e-05,5.209571029990912e-06,1.830650650529301e-06,1.297166269321499e-06,3.085903669179482e-07,1.453996549044705e-07,0.000000000000000e+00
1.067605239308853e+01,1.938385130379321e-03,1.633993403811689e-03,5.684997661493889e-04,1.049558526475300e-05,5.209571029990912e-06,1.796433492316203e-06,1.271324419597854e-06,3.023116580121028e-07,1.431717114083947e-07,0.000000000000000e+00
1.087493646897116e+01,1.896285916414102e-03,1.597778300518663e-03,5.876087816818073e-04,1.027224436058687e-05,5.209571029990912e-06,1.762842398085224e-06,1.245967763056667e-06,2.961520066075718e-07,1.410060694892683e-07,0.000000000000000e+00
1.107752555436321e+01,1.855021506033323e-03,1.562411597653718e-03,5.764025423220915e-04,1.004509862653454e-05,5.209571029990912e-06,1.729865923585923e-06,1.221087415631617e-06,2.901092187567097e-07,1.389184743735032e-07,0.000000000000000e+00
1.128388866985072e+01,1.814461459499565e-03,1.527660287357284e-03,6.040993547483229e-04,9.837898669459018e-06,5.209571029990912e-06,1.697492833963588e-06,1.196674655546200e-06,2.841811631570800e-07,1.369935467672565e-07,0.000000000000000e+00
1.149409612180351e+01,1.774737430407469e-03,1.493486609021811e-03,5.933187775908740e-04,9.628309389772912e-06,5.209571029990912e-06,1.665712099931589e-06,1.172720920342836e-06,2.783657251299757e-07,1.353008265347949e-07,0.000000000000000e+00
1.170821952632809e+01,1.735805007295052e-03,1.460115813282909e-03,6.291218394800343e-04,9.426761053436292e-06,5.209571029990912e-06,1.634512894013754e-06,1.149217803966273e-06,2.726608473217859e-07,1.339456390056725e-07,0.000000000000000e+00
1.192633183366672e+01,1.697540138609811e-03,1.427327663334406e-03,6.187520819559479e-04,9.233214768189608e-06,5.209571029990912e-06,1.603884586855504e-06,1.126157053900295e-06,2.670644969081610e-07,1.329991996378474e-07,0.000000000000000e+00
1.214850735305100e+01,1.660068039775434e-03,1.395086528442669e-03,6.619042646993301e-04,9.046784470213004e-06,5.209571029990912e-06,1.573816743602485e-06,1.103530568356763e-06,2.615746854834353e-07,1.325258515586505e-07,0.000000000000000e+00
