# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
1.289567269009691e+00,1.333526726894110e-04,9.186513773774256e-05,4.519820566654783e-05,7.159729541700469e-07,0.000000000000000e+00,0.000000000000000e+00,1.543074352525369e-07,3.165841460167637e-08,1.006264250240402e-08,0.000000000000000e+00
1.307508015036206e+00,1.373411660382769e-04,9.462686925930872e-05,4.654307161647442e-05,7.374993155021892e-07,0.000000000000000e+00,0.000000000000000e+00,1.587695394133102e-07,3.258574865289452e-08,1.036420033676969e-08,0.000000000000000e+00
1.325698356702841e+00,1.414359644892675e-04,9.746291175225332e-05,4.792349036130883e-05,7.596053173975295e-07,0.000000000000000e+00,0.000000000000000e+00,1.633434292991662e-07,3.353689834781148e-08,1.067383212716267e-08,0.000000000000000e+00
1.344141766439534e+00,1.456398878529519e-04,1.003752687601107e-04,4.934039318748502e-05,7.823065882324685e-07,0.000000000000000e+00,0.000000000000000e+00,1.680317733747757e-07,3.451245812512791e-08,1.099175364993258e-08,0.000000000000000e+00
1.362841764985434e+00,1.499555247456882e-04,1.033660900411401e-04,5.079473387800140e-05,8.056191549731268e-07,0.000000000000000e+00,0.000000000000000e+00,1.728372922949730e-07,3.551303539401281e-08,1.131818609627170e-08,0.000000000000000e+00
1.381801922060999e+00,1.543847614709456e-04,1.064376050846459e-04,5.228748923072547e-05,8.295594522628095e-07,0.000000000000000e+00,0.000000000000000e+00,1.777627595560865e-07,3.653925077055516e-08,1.165335620606885e-08,0.000000000000000e+00
1.401025857049426e+00,1.589317958234300e-04,1.095919787439128e-04,5.381965958420780e-05,8.541443262795993e-07,0.000000000000000e+00,0.000000000000000e+00,1.828110021231276e-07,3.759173831383975e-08,1.199749640425745e-08,0.000000000000000e+00
1.420517239687577e+00,1.635998689513328e-04,1.128314291584428e-04,5.539226935107963e-05,8.793910586727704e-07,0.000000000000000e+00,0.000000000000000e+00,1.879849010309401e-07,3.867114576145675e-08,1.235084493970967e-08,0.000000000000000e+00
1.440279790766507e+00,1.683921647449644e-04,1.161582310346743e-04,5.700636755909089e-05,9.053173731102253e-07,0.000000000000000e+00,0.000000000000000e+00,1.932873919572563e-07,3.977813476422959e-08,1.271364602672658e-08,0.000000000000000e+00
1.460317282841742e+00,1.733119456206414e-04,1.195747170098689e-04,5.866302839982825e-05,9.319414445408700e-07,0.000000000000000e+00,0.000000000000000e+00,1.987214657654518e-07,4.091338111992418e-08,1.308614998917171e-08,0.000000000000000e+00
