# energy,pi_pi_pi0,pi0_a,pi_pi,eta_a,e_e,mu_mu
1.308338705851931e+00,2.106347413410951e-04,0.000000000000000e+00,5.361253440398866e-06,2.277270374879975e-08,0.000000000000000e+00,3.242075088827585e-08
1.325778270248988e+00,2.166688243903613e-04,0.000000000000000e+00,5.512941558233405e-06,2.342861744459602e-08,0.000000000000000e+00,3.332923083212816e-08
1.343450296167667e+00,2.228579814388614e-04,0.000000000000000e+00,5.668442582422834e-06,2.410154647552103e-08,0.000000000000000e+00,3.426014343622439e-08
1.361357882215123e+00,2.292061891375924e-04,0.000000000000000e+00,5.827850896213310e-06,2.479193346451462e-08,0.000000000000000e+00,3.521402758085072e-08
1.379504168301548e+00,2.357175202747701e-04,0.000000000000000e+00,5.991263014893555e-06,2.550023201332635e-08,0.000000000000000e+00,3.619143356913387e-08
1.397892336190717e+00,2.423961460634790e-04,0.000000000000000e+00,6.158777630325924e-06,2.622690697469117e-08,0.000000000000000e+00,3.719292333235856e-08
1.416525610057881e+00,2.492463384715309e-04,0.000000000000000e+00,6.330495655968263e-06,2.697243473073608e-08,0.000000000000000e+00,3.821907063552703e-08
1.435407257055093e+00,2.562724725943800e-04,0.000000000000000e+00,6.506520272384033e-06,2.773730347717122e-08,0.000000000000000e+00,3.927046128303190e-08
1.454540587884066e+00,2.634790290719106e-04,0.000000000000000e+00,6.686956973236225e-06,2.852201351340029e-08,0.000000000000000e+00,4.034769332429807e-08
1.473928957376673e+00,2.708705965498883e-04,0.000000000000000e+00,6.871913611759009e-06,2.932707753868504e-08,0.000000000000000e+00,4.145137725923410e-08
1.493575765083184e+00,2.784518741868404e-04,0.000000000000000e+00,7.061500447699225e-06,3.015302095449703e-08,0.000000000000000e+00,4.258213624331781e-08
1.513484455868335e+00,2.862276742071013e-04,0.000000000000000e+00,7.255830194718067e-06,3.100038214684725e-08,0.000000000000000e+00,4.374060629212442e-08
1.533658520515359e+00,2.942029245007361e-04,0.000000000000000e+00,7.455018068241323e-06,3.186971275143466e-08,0.000000000000000e+00,4.492743648508886e-08
1.554101496338051e+00,3.023826712710251e-04,0.000000000000000e+00,7.659181833744836e-06,3.276157813352698e-08,0.000000000000000e+00,4.614328916827645e-08
1.574816967801002e+00,3.107720817301701e-04,0.000000000000000e+00,7.868441855459644e-06,3.367655764261287e-08,0.000000000000000e+00,4.738884015591877e-08
1.595808567148099e+00,3.193764468438476e-04,0.000000000000000e+00,8.082921145479426e-06,3.461524493872921e-08,0.000000000000000e+00,4.866477893045166e-08
1.617079975039401e+00,3.282011841252157e-04,0.000000000000000e+00,8.302745413250637e-06,3.557824833465583e-08,0.000000000000000e+00,4.997180884077520e-08
1.638634921196503e+00,3.372518404789408e-04,0.000000000000000e+00,8.528043115423514e-06,3.656619114521220e-08,0.000000000000000e+00,5.131064729843277e-08
