# energy,dnde
9.244539522576046e+00,5.271678389134748e-03
9.367574033702446e+00,5.324466840735767e-03
9.492245996958417e+00,5.375442038583627e-03
9.618577205005638e+00,5.424523907427675e-03
9.746589740541818e+00,5.471715311644181e-03
9.876305980160748e+00,5.516978105036094e-03
1.000774859826372e+01,5.560290201469196e-03
1.014094057102303e+01,5.601543779893249e-03
1.027590518039819e+01,5.640981484441570e-03
1.041266601820563e+01,5.678305975139184e-03
1.055124699024256e+01,5.713563193571623e-03
1.069167232046569e+01,5.746778696534023e-03
1.083396655522554e+01,5.777894363910897e-03
1.097815456755722e+01,5.806899219247300e-03
1.112426156152820e+01,5.833769942740678e-03
1.127231307664395e+01,5.858508376220117e-03
1.142233499231230e+01,5.881038559085793e-03
1.157435353236712e+01,5.901379928213582e-03
1.172839526965227e+01,5.919551659432342e-03
1.188448713066654e+01,5.935268339990510e-03
1.204265640027036e+01,5.949195232722042e-03
1.220293072645527e+01,5.960647620381236e-03
1.236533812517667e+01,5.969848788334868e-03
1.252990698525114e+01,5.976781554930047e-03
1.269666607331873e+01,5.981440297004600e-03
1.286564453887140e+01,5.983820902075096e-03
1.303687191934833e+01,5.984312550914380e-03
1.321037814529905e+01,5.983671527885348e-03
1.338619354561537e+01,5.983043700990614e-03
1.356434885283279e+01,5.982379479722259e-03
1.374487520850262e+01,5.981707787493781e-03
1.392780416863543e+01,5.981019978986397e-03
1.411316770921715e+01,5.980311375916507e-03
1.430099823179839e+01,5.979585314393417e-03
1.449132856915829e+01,5.978838149277937e-03
1.468419199104364e+01,5.978072226132820e-03
1.487962220998448e+01,5.977283193283643e-03
1.507765338718700e+01,5.976477837664578e-03
1.527832013850496e+01,5.975643458893017e-03
1.548165754049053e+01,5.974799096794085e-03
1.568770113652569e+01,5.973911731611588e-03
1.589648694303514e+01,5.973028970818237e-03
1.610805145578207e+01,5.972114278248293e-03
1.632243165624756e+01,5.971168813968268e-03
1.653966501809498e+01,5.970200582937867e-03
1.675978951372033e+01,5.969205674580228e-03
1.698284362088989e+01,5.968181454153967e-03
1.720886632946609e+01,5.967143416000470e-03
1.743789714822291e+01,5.966060131065124e-03
1.766997611175211e+01,5.964970048446790e-03
1.790514378746115e+01,5.963840396908188e-03
1.814344128266450e+01,5.962671251599891e-03
1.838491025176910e+01,5.961467748916630e-03
1.862959290355561e+01,5.960269825499580e-03
1.887753200855649e+01,5.959004286625781e-03
1.912877090653229e+01,5.957725314965853e-03
1.938335351404742e+01,5.956405208166357e-03
1.964132433214680e+01,5.955051569141489e-03
1.990272845413462e+01,5.953661664366204e-03
2.016761157345670e+01,5.952237013787526e-03
2.043601999168756e+01,5.950773413383347e-03
2.070800062662415e+01,5.949264724971503e-03
2.098360102048692e+01,5.947732081927763e-03
2.126286934823025e+01,5.946152074095242e-03
2.154585442596347e+01,5.944506755747711e-03
2.183260571948385e+01,5.942560798869726e-03
2.212317335292328e+01,5.941159723623370e-03
2.241760811750991e+01,5.939400875395057e-03
2.271596148044655e+01,5.937611051105165e-03
2.301828559390700e+01,5.935768309304687e-03
2.332463330415239e+01,5.933875852587864e-03
2.363505816076864e+01,5.931936495356922e-03
2.394961442602693e+01,5.929943821418803e-03
2.426835708436876e+01,5.927894861962982e-03
2.459134185201721e+01,5.925805212949880e-03
2.491862518671618e+01,5.923653537866051e-03
2.525026429759915e+01,5.920850525024962e-03
2.558631715518938e+01,5.919193425478413e-03
2.592684250153316e+01,5.916860947457092e-03
2.627189986046783e+01,5.914489747146170e-03
2.662154954802671e+01,5.912063697008716e-03
2.697585268298220e+01,5.909529741989019e-03
