# energy,mu_nu,pi_pi0,pi_pi_pi,pi0_e_nu,pi0_mu_nu,pi_pi0_pi0,e_nu
1.829913907343369e+00,1.886889600017149e-04,4.727642252546637e-05,2.592401634403871e-05,2.162909296011522e-07,6.608389517665203e-06,2.809412526784098e-06,0.000000000000000e+00
1.852718345963874e+00,1.934317369692602e-04,4.847773325726970e-05,2.659088736757831e-05,2.209957528311304e-07,6.777115053115524e-06,2.881621329657203e-06,0.000000000000000e+00
1.875806974140351e+00,1.982857474464972e-04,4.970774989096486e-05,2.727402106115645e-05,2.257592077006286e-07,6.949904780999536e-06,2.955588648625035e-06,0.000000000000000e+00
1.899183333451047e+00,2.032535064093610e-04,5.096714248946883e-05,2.797380973193705e-05,2.305820248787892e-07,7.126854826681865e-06,3.031356813385526e-06,0.000000000000000e+00
1.922851009609455e+00,2.083375811429172e-04,5.225659593957358e-05,2.869065488498616e-05,2.354649441403735e-07,7.308063493508421e-06,3.108969142476293e-06,0.000000000000000e+00
1.946813633014331e+00,2.135405921593051e-04,5.357681025202901e-05,2.942496743142626e-05,2.404087144792367e-07,7.493631309070821e-06,3.188469965508631e-06,0.000000000000000e+00
1.971074879306563e+00,2.188652141232955e-04,5.492850086631590e-05,3.017716790089243e-05,2.454140942232167e-07,7.683661072297761e-06,3.269904645854857e-06,0.000000000000000e+00
1.995638469932978e+00,2.243141767850960e-04,5.631239896012459e-05,3.094768665836663e-05,2.504818511504544e-07,7.878257901382236e-06,3.353319603796783e-06,0.000000000000000e+00
2.020508172717178e+00,2.298902659200017e-04,5.772925176355240e-05,3.173696412546682e-05,2.556127626071631e-07,8.077529282553223e-06,3.438762340143043e-06,0.000000000000000e+00
2.045687802437491e+00,2.355963242744586e-04,5.917982287802763e-05,3.254545100626833e-05,2.608076156268667e-07,8.281585119700332e-06,3.526281460323251e-06,0.000000000000000e+00
2.071181221412118e+00,2.414352525180699e-04,6.066489259996378e-05,3.337360851773490e-05,2.660672070511232e-07,8.490537784859285e-06,3.615926698966673e-06,0.000000000000000e+00
2.096992340091578e+00,2.474100102010398e-04,6.218525824914417e-05,3.422190862483771e-05,2.713923436517521e-07,8.704502169566001e-06,3.707748944973451e-06,0.000000000000000e+00
2.123125117658537e+00,2.535236167165108e-04,6.374173450183138e-05,3.509083428044131e-05,2.767838422545867e-07,8.923595737086716e-06,3.801800267086201e-06,0.000000000000000e+00
2.149583562635102e+00,2.597791522672116e-04,6.533515372859100e-05,3.598087967003461e-05,2.822425298647659e-07,9.147938575530824e-06,3.898133939969961e-06,0.000000000000000e+00
2.176371733497700e+00,2.661797588357851e-04,6.696636633681444e-05,3.689255046138715e-05,2.877692437935907e-07,9.377653451853286e-06,3.996804470808395e-06,0.000000000000000e+00
