# energy,pi_pi_pi0,pi_pi,mu_mu
5.602128164992719e-01,8.516063671434618e-05,2.183929953650299e-06,1.328322935689282e-08
5.706490155927858e-01,8.831802566035355e-05,2.264258324459532e-06,1.376882869617748e-08
5.812796305374044e-01,9.159158175689671e-05,2.347505056515804e-06,1.427189666351217e-08
5.921082831041212e-01,9.498552734811570e-05,2.433774065395144e-06,1.479304505520810e-08
6.031386625338666e-01,9.850423523998924e-05,2.523172842523379e-06,1.533290610576914e-08
6.143745267944039e-01,1.021522338847881e-04,2.615812570749597e-06,1.589213311023859e-08
6.258197038606413e-01,1.059342127335226e-04,2.711808243189897e-06,1.647140106162378e-08
6.374780930187944e-01,1.098550277611645e-04,2.811278785403146e-06,1.707140730349118e-08
6.493536661948436e-01,1.139197071695198e-04,2.914347180959305e-06,1.769287219780194e-08
6.614504693077394e-01,1.181334572727165e-04,3.021140600459465e-06,1.833653980803100e-08
6.737726236478173e-01,1.225016685703612e-04,3.131790534065087e-06,1.900317859758517e-08
6.863243272808900e-01,1.270299220135072e-04,3.246432927591958e-06,1.969358214350370e-08
6.991098564784974e-01,1.317239954686581e-04,3.365208322222133e-06,2.040856986539108e-08
7.121335671748004e-01,1.365898703851157e-04,3.488261997884494e-06,2.114898776949380e-08
7.253998964506142e-01,1.416337386710526e-04,3.615744120351676e-06,2.191570920779224e-08
7.389133640450900e-01,1.468620097837730e-04,3.747809892097696e-06,2.270963565193422e-08
7.526785738955553e-01,1.522813180396838e-04,3.884619706956865e-06,2.353169748178791e-08
7.667002157060409e-01,1.578985301495695e-04,4.026339308620398e-06,2.438285478833923e-08
7.809830665450286e-01,1.637207529848210e-04,4.173139953002409e-06,2.526409819060178e-08
7.955319924729620e-01,1.697553415803164e-04,4.325198574501691e-06,2.617644966614466e-08
8.103519502000778e-01,1.760099073797027e-04,4.482697956180076e-06,2.712096339477692e-08
8.254479887751180e-01,1.824923267288566e-04,4.645826903871537e-06,2.809872661485386e-08
8.408252513055067e-01,1.892107496233388e-04,4.814780424229420e-06,2.911086049159291e-08
8.564889767095639e-01,1.961736087156629e-04,4.989759906711226e-06,3.015852099669978e-08
8.724445015013688e-01,2.033896285882202e-04,5.170973309492073e-06,3.124289979851650e-08
8.886972616088691e-01,2.108678352976848e-04,5.358635349288602e-06,3.236522516180176e-08
9.052527942258612e-01,2.186175661967155e-04,5.552967695064947e-06,3.352676285614882e-08
9.221167396984710e-01,2.266484800387316e-04,5.754199165581382e-06,3.472881707193099e-08
9.392948434467768e-01,2.349705673714983e-04,5.962565930734210e-06,3.597273134254140e-08
9.567929579222322e-01,2.435941612251902e-04,6.178311716622343e-06,3.725988947156121e-08
9.746170446015512e-01,2.525299481005187e-04,6.401688014261787e-06,3.859171646334717e-08
