# energy,pi_pi_pi0,pi_e_ve,pi_mu_vm,pi_pi
2.897220740893744e-01,1.062614547310732e-06,2.236160958880634e-06,2.890949484152710e-06,2.467779479406589e-08
2.951193037812561e-01,1.102464935573252e-06,2.319908284976314e-06,2.999258228401236e-06,2.560170324415055e-08
3.006170784124161e-01,1.143807678215067e-06,2.406785371004430e-06,3.111616839964465e-06,2.656012182900316e-08
3.062172710335475e-01,1.186698541104441e-06,2.496908798013747e-06,3.228176299839900e-06,2.755433501093965e-08
3.119217895883862e-01,1.231195367022972e-06,2.590399467681341e-06,3.349093191836912e-06,2.858567479773358e-08
3.177325775637337e-01,1.277358152619982e-06,2.687382761180016e-06,3.474529909010093e-06,2.965552248747742e-08
3.236516146515880e-01,1.325249128195407e-06,2.787988703814405e-06,3.604654867612966e-06,3.076531047660630e-08
3.296809174236098e-01,1.374932840413844e-06,2.892352135630977e-06,3.739642728841051e-06,3.191652413331986e-08
3.358225400181536e-01,1.426476238056052e-06,3.000612888214255e-06,3.879674628642602e-06,3.311070373871346e-08
3.420785748400981e-01,1.479948760917969e-06,3.112915967888785e-06,4.024938415884997e-06,3.434944649800979e-08
3.484511532737108e-01,1.535422431971199e-06,3.229411745553914e-06,4.175628899174620e-06,3.563440862436081e-08
3.549424464087969e-01,1.592971952903012e-06,3.350256153386250e-06,4.331948102638525e-06,3.696730749777619e-08
3.615546657803719e-01,1.652674803157982e-06,3.475610888652580e-06,4.494105530986563e-06,3.834992390181801e-08
3.682900641221157e-01,1.714611342607808e-06,3.605643624884340e-06,4.662318444183790e-06,3.978410434079209e-08
3.751509361338620e-01,1.778864917980230e-06,3.740528230673245e-06,4.836812142074151e-06,4.127176344025681e-08
3.821396192633851e-01,1.845521973182631e-06,3.880444996356407e-06,5.017820259308192e-06,4.281488643376540e-08
